address,wallet_name,category,tier,success_rate,four_x_rate,total_trades,successful_trades,avg_roi,total_pnl,token_count,overall_score
RFSqPtn1JfavGiUD4HJsZyYXvZsycxf31hnYfbyG6iB,early mover,Gem Spotter,Tier 2,100.00,100.00,200,200,19911.00,6316657.00,198,60.00
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,early mover,Gem Spotter,Tier 2,100.00,100.00,188,188,27036.71,6647256.00,187,60.00
Ay9wnuZCRTceZJuRpGZnuwYZuWdsviM4cMiCwFoSQiPH,early mover,Gem Spotter,Tier 2,100.00,100.00,118,118,26082.88,7432348.00,117,60.00
ATmKENkRrL1JQQnoUNAQvkiwgjiHKUkzyncxTGxyzQL1,early mover,Gem Spotter,Tier 2,100.00,100.00,160,160,59003.56,31919382.00,159,60.00
ECCKBDWX3MkEcf3bULbLBb9FvrEQLsmPMFTKFpvjzqgP,early mover,Gem Spotter,Tier 2,100.00,100.00,197,197,29191.05,11819846.00,192,60.00
2WfNxFN74pzJWKnXQ7NpkbnbEEhSLVJZGiB9NvxQ4Vpb,early mover,Gem Spotter,Tier 2,100.00,100.00,117,117,53177.52,9933070.00,114,60.00
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,early mover,Gem Spotter,Tier 2,100.00,100.00,162,162,157577.19,8364743.00,161,60.00
57JMxCescrFBvb8bqjNwHPM9J7wPF12SV5KJa82HCd9B,early mover,Gem Spotter,Tier 2,100.00,100.00,112,112,27962.24,5078840.00,111,60.00
3daLWaPMpiw42nVGFS6pCBXECR7hEz4ThAEFvvcsggts,early mover,Gem Spotter,Tier 2,100.00,100.00,100,100,10410.65,2747095.00,99,60.00
9UWZFoiCHeYRLmzmDJhdMrP7wgrTw7DMSpPiT2eHgJHe,early mover,Gem Spotter,Tier 2,100.00,100.00,187,187,142175.48,9133609.00,185,60.00
AbcX4XBm7DJ3i9p29i6sU8WLmiW4FWY5tiwB9D6UBbcE,gem spotter,Gem Spotter,Tier 2,100.00,100.00,139,139,30711.12,7108804.00,138,60.00
2iCmwtaM14u5XijJ6Wx6pbxSqvvPbvzUVXAhk1B4aEtr,late mover,Gem Spotter,Tier 2,100.00,100.00,129,129,112378.96,5022216.00,128,60.00
9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,early mover,Gem Spotter,Tier 2,100.00,100.00,132,132,27010.33,3024020.00,132,60.00
F1chUYt4XB84bF6MzfHgU2dtoWNyAXGdCfzDBLR2EM5s,early mover,Gem Spotter,Tier 2,100.00,100.00,122,122,26665.11,2844126.00,118,60.00
9jyqFiLnruggwNn4EQwBNFXwpbLM9hrA4hV59ytyAVVz,gem spotter,Gem Spotter,Tier 2,100.00,100.00,113,113,13521.99,3268964.00,111,60.00
KANYEsXAntLxYUE6GtPJ5CahFGpEbaSbd5xhNFYbvq3,early mover,Gem Spotter,Tier 2,100.00,100.00,115,115,56969.01,2784773.00,114,60.00
BrNoqdHUCcv9yTncnZeSjSov8kqhpmzv1nAiPbq1M95H,early mover,Gem Spotter,Tier 2,100.00,100.00,106,106,59897.68,3047552.00,105,60.00
5fWkLJfoDsRAaXhPJcJY19qNtDDQ5h6q1SPzsAPRrUNG,early mover,Gem Spotter,Tier 2,100.00,100.00,145,145,33914.83,2847847.00,144,60.00
DygBZFmF6z16nXywkvM2X3PB4mgLiTSdwJisV1jcfwc2,gem spotter,Gem Spotter,Tier 2,100.00,100.00,120,120,67030.78,2595744.00,119,60.00
AxThFwuQ1Vf5FMSmmBv3vb2DXRGPFkHjKbNZVs4YMx4X,early mover,Gem Spotter,Tier 2,100.00,100.00,116,116,25179.54,1855331.00,116,60.00
HUpPyLU8KWisCAr3mzWy2FKT6uuxQ2qGgJQxyTpDoes5,early mover,Gem Spotter,Tier 2,100.00,100.00,99,99,25420.61,11568547.00,99,59.80
2huXTbjeBhtMZ1ugNwUGucYBRasRaaiypymUX6P1Kwjx,early mover,Gem Spotter,Tier 2,100.00,100.00,96,96,108018.83,7281228.00,96,59.20
CWvdyvKHEu8Z6QqGraJT3sLPyp9bJfFhoXcxUYRKC8ou,early mover,Gem Spotter,Tier 2,100.00,100.00,91,91,34811.36,17282770.00,89,58.20
